"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mark Ingram II","BAL","6.3","24.5","0.1","1.0","6.7","0.0","0.1","4.5"
"","high","10.0","34.9","0.3","2.1","10.3","0.1","0.0","5.6"
"","low","4.0","18.8","0.0","0.6","4.7","0.0","0.1","4.0"
"Boston Scott","PHI","3.8","14.9","0.1","1.9","13.6","0.0","0.0","4.3"
"","high","6.0","25.1","0.1","3.6","18.4","0.1","0.0","4.6"
"","low","2.3","8.9","0.0","1.2","10.4","0.0","0.1","3.7"
"Sony Michel","NE","7.2","26.6","0.1","0.8","3.5","0.0","0.0","4.2"
"","high","10.1","30.9","0.2","1.2","4.6","0.0","0.0","4.7"
"","low","5.2","20.3","0.0","0.5","2.6","0.0","0.0","3.9"
"Jerick McKinnon","SF","4.4","13.9","0.1","1.8","12.3","0.1","0.0","4.1"
"","high","7.2","20.6","0.1","2.7","15.7","0.1","0.0","4.6"
"","low","2.9","10.8","0.0","1.0","9.0","0.0","0.1","3.6"
"Chris Thompson","JAC","2.7","9.8","0.0","1.9","14.6","0.1","0.0","4.0"
"","high","2.7","9.8","0.0","1.9","14.6","0.1","0.0","4.0"
"","low","2.7","9.8","0.0","1.9","14.6","0.1","0.0","4.0"
"Patrick Laird","MIA","3.3","12.1","0.0","2.7","14.3","0.0","0.1","3.9"
"","high","3.3","12.1","0.0","2.7","14.3","0.0","0.1","0.0"
"","low","3.3","12.1","0.0","2.7","14.3","0.0","0.1","0.0"
"Salvon Ahmed","MIA","4.6","19.6","0.1","0.8","5.4","0.0","0.0","3.7"
"","high","6.1","27.8","0.2","1.1","8.7","0.0","0.0","4.8"
"","low","3.8","10.9","0.0","0.5","3.4","0.0","0.1","3.7"
"Matt Breida","MIA","4.6","21.5","0.1","0.9","7.9","0.0","0.1","3.7"
"","high","7.2","33.6","0.1","1.3","11.7","0.0","0.1","5.6"
"","low","2.1","9.4","0.1","0.5","4.0","0.0","0.1","2.2"
"Alfred Morris","NYG","4.7","21.6","0.1","0.8","3.7","0.0","0.0","3.6"
"","high","6.1","30.1","0.2","1.5","5.4","0.0","0.0","4.0"
"","low","3.5","13.9","0.0","0.5","2.3","0.0","0.0","3.0"
"Jalen Richard","LV","3.7","13.8","0.1","1.3","10.3","0.0","0.1","3.6"
"","high","5.3","23.2","0.2","2.9","22.1","0.1","0.0","4.6"
"","low","1.3","2.9","0.0","0.8","6.7","0.0","0.1","2.0"
"Devonta Freeman","NYG","3.4","13.7","0.1","1.0","7.4","0.1","0.0","3.5"
"","high","3.6","15.8","0.1","1.1","9.4","0.1","0.0","3.8"
"","low","3.2","10.6","0.1","0.7","5.0","0.0","0.0","3.2"
"Samaje Perine","CIN","5.3","19.1","0.1","0.9","5.6","0.0","0.0","3.5"
"","high","9.7","33.9","0.2","1.8","10.4","0.0","0.0","5.1"
"","low","1.8","7.5","0.0","0.1","0.2","0.0","0.1","1.8"
"Tevin Coleman","SF","4.8","17.4","0.1","0.8","6.0","0.0","0.0","3.3"
"","high","8.0","22.7","0.2","1.8","9.5","0.0","0.0","4.5"
"","low","1.3","5.6","0.0","0.4","3.3","0.0","0.1","1.7"
"Dion Lewis","NYG","2.8","9.3","0.0","1.6","10.5","0.0","0.0","3.3"
"","high","5.1","17.5","0.1","2.2","15.1","0.1","0.0","4.0"
"","low","1.2","5.2","0.0","1.1","8.5","0.0","0.1","2.7"
"Lynn Bowden Jr.","MIA","2.1","8.7","0.0","1.4","12.1","0.1","0.0","3.2"
"","high","5.2","18.6","0.1","1.7","20.2","0.1","0.0","3.8"
"","low","0.2","1.0","0.0","1.0","6.0","0.0","0.0","2.6"
"Josh Adams","NYJ","4.9","19.3","0.1","0.7","2.5","0.0","0.1","3.1"
"","high","7.8","28.5","0.2","2.2","3.6","0.0","0.0","4.0"
"","low","1.6","6.6","0.0","0.1","0.9","0.0","0.1","1.6"
"Jeremy McNichols","TEN","3.1","14.3","0.1","1.0","5.1","0.0","0.0","3.0"
"","high","4.2","21.3","0.1","1.8","7.7","0.1","0.0","3.8"
"","low","2.1","10.0","0.0","0.3","1.4","0.0","0.0","2.4"
