"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Garrett Gilbert","DAL","1.5","0.9","8.8","0.0","0.1","0.3","1.2","0.0","0.0","0.3"
"","high","1.5","0.9","8.8","0.0","0.1","0.3","1.2","0.0","0.0","0.3"
"","low","1.5","0.9","8.8","0.0","0.1","0.3","1.2","0.0","0.0","0.3"
"Ryan Finley","CIN","1.4","0.8","8.2","0.0","0.1","0.2","1.0","0.0","0.0","0.2"
"","high","1.4","0.8","8.2","0.0","0.1","0.2","1.0","0.0","0.0","0.2"
"","low","1.4","0.8","8.2","0.0","0.1","0.2","1.0","0.0","0.0","0.2"
"Jacob Eason","IND","0.7","0.5","5.1","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"","high","0.7","0.5","5.1","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"","low","0.7","0.5","5.1","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Jake Fromm","BUF","0.3","0.2","1.8","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
"","high","0.3","0.2","1.8","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
"","low","0.3","0.2","1.8","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
