"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kyle Juszczyk","SF","1.0","4.1","0.1","1.8","18.1","0.1","0.0","4.7"
"","high","2.0","7.5","0.2","2.7","20.0","0.1","0.0","5.8"
"","low","0.2","1.0","0.0","1.4","16.1","0.0","0.1","4.3"
"Sony Michel","NE","7.6","26.3","0.2","0.8","2.7","0.0","0.0","4.6"
"","high","9.5","38.8","0.3","0.9","4.4","0.0","0.0","7.0"
"","low","5.7","13.7","0.0","0.6","1.1","0.0","0.0","7.0"
"Dexter Williams","GB","6.9","24.3","0.1","1.0","6.8","0.0","0.1","4.5"
"","high","12.0","47.0","0.2","2.4","12.7","0.1","0.0","6.5"
"","low","2.5","7.2","0.0","0.3","2.3","0.0","0.1","2.3"
"Dion Lewis","NYG","2.5","9.3","0.0","1.8","12.8","0.1","0.0","4.4"
"","high","6.2","22.0","0.0","2.7","19.0","0.1","0.0","5.0"
"","low","1.1","3.8","0.0","1.0","8.5","0.0","0.1","3.7"
"Salvon Ahmed","MIA","3.8","14.4","0.1","1.2","7.9","0.0","0.0","4.0"
"","high","5.9","23.7","0.2","2.0","17.7","0.1","0.0","7.1"
"","low","1.5","6.4","0.0","0.6","3.6","0.0","0.1","2.9"
"D'Onta Foreman","TEN","4.6","19.1","0.1","1.0","5.5","0.0","0.0","3.9"
"","high","6.1","23.7","0.1","1.9","7.2","0.0","0.0","4.3"
"","low","3.7","15.2","0.0","0.4","4.1","0.0","0.1","3.1"
"Alfred Morris","NYG","5.8","24.7","0.1","0.6","3.1","0.0","0.0","3.9"
"","high","6.7","32.9","0.2","1.7","5.9","0.0","0.0","4.7"
"","low","4.9","19.9","0.0","0.0","0.0","0.0","0.1","3.0"
"Devontae Booker","LV","4.0","17.4","0.1","1.0","6.7","0.0","0.0","3.8"
"","high","7.0","29.0","0.1","2.0","13.2","0.1","0.0","4.3"
"","low","2.5","10.0","0.0","0.5","4.0","0.0","0.1","2.9"
"Darrel Williams","KC","2.9","9.4","0.1","1.2","7.2","0.0","0.0","3.6"
"","high","5.2","15.4","0.2","2.4","12.0","0.2","0.0","5.0"
"","low","1.8","7.0","0.0","0.2","1.6","0.0","0.0","2.5"
"Kerryon Johnson","DET","2.7","11.4","0.1","1.2","7.5","0.0","0.0","3.5"
"","high","7.8","26.7","0.1","2.0","15.0","0.1","0.0","5.1"
"","low","0.7","3.0","0.0","0.2","1.5","0.0","0.1","2.1"
"Benny Snell Jr.","PIT","5.9","22.6","0.1","0.5","1.7","0.0","0.1","3.5"
"","high","11.9","44.7","0.2","1.6","3.0","0.0","0.0","4.5"
"","low","2.5","10.5","0.0","0.1","0.3","0.0","0.1","2.5"
"Ke'Shawn Vaughn","TB","2.8","9.5","0.1","1.0","8.4","0.0","0.0","3.4"
"","high","3.8","11.0","0.1","1.7","19.0","0.1","0.0","5.3"
"","low","1.8","6.7","0.0","0.3","2.8","0.0","0.0","2.6"
"Jeremy McNichols","TEN","3.3","14.5","0.1","0.9","6.2","0.0","0.0","3.4"
"","high","7.6","31.6","0.1","2.2","10.1","0.1","0.0","4.3"
"","low","0.3","1.0","0.0","0.2","1.2","0.0","0.1","2.0"
"Alex Collins","SEA","3.8","15.1","0.1","0.7","3.9","0.0","0.1","3.2"
"","high","7.8","24.4","0.2","1.9","6.4","0.1","0.0","4.0"
"","low","1.4","5.9","0.0","0.3","2.1","0.0","0.1","1.9"
"Peyton Barber","WAS","5.2","16.6","0.1","0.5","2.4","0.0","0.0","3.2"
"","high","8.3","23.1","0.2","1.6","3.7","0.0","0.0","4.1"
"","low","3.3","8.0","0.0","0.2","1.3","0.0","0.1","1.9"
"Ty Johnson","NYJ","3.1","15.5","0.0","0.9","3.8","0.0","0.1","3.0"
"","high","4.2","18.5","0.1","2.2","6.5","0.0","0.0","3.8"
"","low","2.1","8.8","0.0","0.3","1.6","0.0","0.1","2.3"
"Royce Freeman","DEN","3.4","10.7","0.0","1.0","5.4","0.0","0.0","2.9"
"","high","5.7","18.1","0.1","1.8","8.0","0.1","0.0","3.3"
"","low","1.8","6.9","0.0","0.2","1.8","0.0","0.0","1.9"
"Kalen Ballage","LAC","2.4","8.4","0.1","0.9","6.2","0.0","0.0","2.8"
"","high","3.7","12.0","0.1","1.4","11.5","0.0","0.0","4.0"
"","low","1.7","6.0","0.0","0.5","3.9","0.0","0.1","2.5"
"Anthony McFarland Jr.","PIT","2.8","11.5","0.1","0.7","4.2","0.0","0.0","2.7"
"","high","5.8","21.9","0.1","1.8","7.0","0.0","0.0","3.2"
"","low","1.0","6.0","0.0","0.3","1.6","0.0","0.0","1.7"
"Ito Smith","ATL","1.7","4.9","0.0","1.4","7.3","0.0","0.0","2.6"
"","high","2.0","7.0","0.0","2.0","13.0","0.0","0.0","3.7"
"","low","1.4","2.7","0.0","0.8","1.7","0.0","0.0","3.7"
"Alec Ingold","LV","0.5","1.5","0.0","1.1","8.8","0.1","0.0","2.6"
"","high","1.0","5.0","0.0","1.8","13.5","0.2","0.0","3.3"
"","low","0.3","0.0","0.0","0.4","3.8","0.0","0.0","2.1"
"LeSean McCoy","TB","4.5","8.1","0.0","0.9","4.6","0.0","0.0","2.5"
"","high","7.2","15.4","0.1","1.6","6.6","0.1","0.0","2.3"
"","low","1.8","3.7","0.0","0.2","1.6","0.0","0.0","2.2"
"D.J. Foster","ARI","3.1","8.6","0.0","0.8","4.3","0.0","0.0","2.4"
"","high","3.8","13.0","0.1","1.3","5.0","0.0","0.0","2.9"
"","low","2.3","2.6","0.0","0.5","3.8","0.0","0.0","1.8"
"Malcolm Perry","MIA","0.6","1.9","0.0","1.0","8.9","0.0","0.0","2.3"
"","high","1.0","4.4","0.0","1.3","9.4","0.1","0.0","2.9"
"","low","0.1","-0.6","0.0","0.6","8.4","0.0","0.0","1.7"
"Darwin Thompson","KC","2.6","8.1","0.0","0.9","1.8","0.0","0.0","2.1"
"","high","4.4","13.8","0.1","3.0","3.0","0.0","0.0","2.2"
"","low","1.6","5.0","0.0","0.0","0.1","0.0","0.1","1.7"
"Reggie Gilliam","BUF","1.7","5.6","0.0","0.8","4.0","0.1","0.0","2.0"
"","high","2.5","7.6","0.0","1.0","4.8","0.1","0.0","2.2"
"","low","0.8","3.7","0.0","0.6","3.2","0.0","0.0","2.2"
"Jaylen Samuels","PIT","1.7","5.1","0.0","0.8","4.8","0.0","0.0","1.9"
