"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","5.3","67.3","0.3","0.1","0.4","0.0","0.0","7.3"
"","low","4.0","49.1","0.0","0.0","0.0","0.0","0.0","6.1"
"Christian Kirk","ARI","3.8","48.7","0.3","0.2","1.6","0.0","0.0","6.6"
"","high","5.1","62.9","0.5","0.4","3.4","0.0","0.0","8.5"
"","low","3.0","38.7","0.0","0.0","0.0","0.0","0.1","5.3"
"D.J. Moore","CAR","3.6","54.6","0.1","0.2","2.4","0.0","0.0","6.5"
"","high","4.8","72.1","0.3","0.2","2.4","0.0","0.0","8.9"
"","low","2.5","37.0","0.0","0.2","2.4","0.0","0.1","8.9"
"Sammy Watkins","KC","3.8","49.3","0.2","0.1","0.9","0.0","0.0","6.4"
"","high","4.3","60.4","0.3","0.2","1.4","0.0","0.0","7.2"
"","low","3.1","38.5","0.1","0.0","0.0","0.0","0.1","5.8"
"Rashard Higgins","CLE","3.3","47.9","0.2","0.0","0.1","0.0","0.0","6.2"
"","high","4.2","58.6","0.3","0.0","0.4","0.0","0.0","7.0"
"","low","3.0","42.1","0.1","0.0","0.0","0.0","0.1","5.6"
"Darius Slayton","NYG","3.2","47.6","0.2","0.1","0.4","0.0","0.0","6.1"
"","high","4.1","62.4","0.4","0.2","1.2","0.0","0.0","6.9"
"","low","2.8","40.1","0.1","0.1","-0.1","0.0","0.1","5.3"
"Gabriel Davis","BUF","2.8","43.6","0.3","0.1","0.0","0.0","0.0","6.0"
"","high","3.6","51.0","0.3","0.1","0.1","0.0","0.0","6.6"
"","low","2.0","35.8","0.2","0.0","0.0","0.0","0.0","5.4"
"Kenny Golladay","DET","2.7","44.6","0.2","0.0","0.1","0.0","0.0","5.8"
"","high","3.7","58.9","0.4","0.0","0.2","0.0","0.0","8.2"
"","low","2.0","34.1","0.0","0.0","0.0","0.0","0.0","5.2"
"Laviska Shenault Jr.","JAC","3.4","37.5","0.2","1.4","8.0","0.1","0.0","5.7"
"","high","4.2","45.4","0.3","1.7","10.1","0.1","0.0","6.7"
"","low","2.7","29.6","0.0","1.1","5.5","0.0","0.1","4.7"
"Hunter Renfrow","LV","3.6","45.2","0.2","0.0","0.0","0.0","0.0","5.7"
"","high","4.1","52.4","0.3","0.0","0.1","0.0","0.0","6.4"
"","low","2.9","34.9","0.0","0.0","0.0","0.0","0.0","4.7"
"Darnell Mooney","CHI","3.7","44.8","0.2","0.1","0.0","0.0","0.0","5.7"
"","high","5.2","55.2","0.3","0.1","0.1","0.0","0.0","6.6"
"","low","3.1","34.8","0.1","0.0","-0.2","0.0","0.0","4.1"
"Henry Ruggs III","LV","2.5","43.0","0.2","0.7","3.6","0.0","0.1","5.6"
"","high","3.2","63.5","0.2","0.9","5.1","0.0","0.0","5.9"
"","low","2.1","32.9","0.0","0.5","2.8","0.0","0.2","5.1"
"Josh Reynolds","LAR","3.3","45.9","0.2","0.1","0.4","0.0","0.0","5.6"
"","high","4.0","54.6","0.2","0.2","0.7","0.0","0.0","6.0"
"","low","2.9","40.5","0.0","0.0","0.0","0.0","0.1","5.3"
"Anthony Miller","CHI","3.6","42.4","0.2","0.2","1.0","0.0","0.1","5.5"
"","high","4.9","57.7","0.3","0.3","1.7","0.0","0.0","5.9"
"","low","3.1","36.0","0.1","0.2","0.6","0.0","0.1","4.9"
"Emmanuel Sanders","NO","3.3","41.0","0.2","0.1","0.3","0.0","0.0","5.4"
"","high","4.3","53.0","0.3","0.1","0.6","0.0","0.0","6.2"
"","low","2.4","29.5","0.0","0.0","0.0","0.0","0.0","4.1"
"Cordarrelle Patterson","CHI","2.1","18.3","0.1","4.9","23.1","0.1","0.0","5.3"
"","high","3.9","34.9","0.1","6.7","33.0","0.2","0.0","6.2"
"","low","1.2","11.3","0.0","2.4","12.4","0.1","0.1","4.7"
"KJ Hamler","DEN","3.3","39.4","0.2","0.7","3.2","0.0","0.0","5.3"
"","high","4.4","51.4","0.2","0.9","4.9","0.0","0.0","6.3"
