"Player","Team","REC","YDS","TDS","FL","FPTS"
"","low","0.6","6.3","0.0","0.0","1.3"
"Eric Saubert","JAC","0.7","6.5","0.0","0.0","1.3"
"","high","0.8","9.0","0.0","0.0","1.1"
"","low","0.5","4.0","0.0","0.0","1.1"
"Jake Butt","DEN","0.7","5.7","0.0","0.0","1.3"
"","high","0.7","5.7","0.0","0.0","1.3"
"","low","0.7","5.7","0.0","0.0","1.3"
"Mason Schreck","CIN","0.6","6.3","0.0","0.0","1.2"
"","high","0.6","6.3","0.0","0.0","0.0"
"","low","0.6","6.3","0.0","0.0","0.0"
"Andrew Beck","DEN","0.4","4.7","0.1","0.0","1.2"
"","high","0.5","5.1","0.1","0.0","1.5"
"","low","0.4","4.3","0.0","0.0","1.5"
"Jakob Johnson","NE","0.4","1.6","0.1","0.0","1.2"
"","high","0.4","1.6","0.1","0.0","1.2"
"","low","0.4","1.6","0.1","0.0","1.2"
"Brandon Dillon","MIN","0.5","5.9","0.0","0.0","1.1"
"","high","0.5","5.9","0.0","0.0","0.0"
"","low","0.5","5.9","0.0","0.0","0.0"
"Sean McKeon","DAL","0.5","5.8","0.0","0.0","1.1"
"","high","0.5","5.8","0.0","0.0","0.0"
"","low","0.5","5.8","0.0","0.0","0.0"
"Tanner Hudson","TB","0.5","5.0","0.0","0.0","0.9"
"","high","0.5","5.0","0.0","0.0","0.0"
"","low","0.5","5.0","0.0","0.0","0.0"
"J.P. Holtz","CHI","0.4","4.7","0.0","0.0","0.9"
"","high","0.5","5.5","0.0","0.0","0.8"
"","low","0.3","3.9","0.0","0.0","0.8"
"Trevon Wesco","NYJ","0.4","4.1","0.0","0.0","0.8"
"","high","0.4","4.1","0.0","0.0","0.8"
"","low","0.4","4.1","0.0","0.0","0.8"
"Daniel Brown","NYJ","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""
