"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Curtis Samuel","CAR","3.3","35.8","0.2","1.4","9.6","0.1","0.0","9.3"
"","high","4.9","53.2","0.3","2.0","13.0","0.2","0.0","11.2"
"","low","2.0","21.0","0.0","0.5","3.0","0.0","0.1","6.0"
"Preston Williams","MIA","3.3","46.9","0.2","0.0","0.0","0.0","0.0","9.1"
"","high","3.9","55.3","0.4","0.0","0.0","0.0","0.0","10.9"
"","low","2.6","39.1","0.0","0.0","0.0","0.0","0.1","7.6"
"Keelan Cole Sr.","JAC","3.2","46.2","0.2","0.1","0.4","0.0","0.0","9.1"
"","high","3.8","57.7","0.3","0.1","1.0","0.0","0.0","9.8"
"","low","2.5","35.9","0.1","0.0","0.0","0.0","0.1","7.8"
"Randall Cobb","HOU","3.5","43.7","0.2","0.1","0.4","0.0","0.0","9.0"
"","high","5.0","58.4","0.3","0.3","0.9","0.0","0.0","10.1"
"","low","2.3","26.0","0.0","0.0","0.0","0.0","0.0","7.3"
"Trent Taylor","SF","3.9","43.1","0.1","0.0","0.1","0.0","0.0","9.0"
"","high","6.2","57.0","0.3","0.0","0.5","0.0","0.0","10.8"
"","low","1.9","20.0","0.0","0.0","0.0","0.0","0.1","6.5"
"Denzel Mims","NYJ","3.6","44.9","0.1","0.1","0.5","0.0","0.0","8.7"
"","high","5.0","54.9","0.2","0.2","1.4","0.0","0.0","9.3"
"","low","2.7","35.5","0.0","0.0","0.0","0.0","0.1","7.9"
"Damiere Byrd","NE","3.3","41.9","0.2","0.0","0.1","0.0","0.0","8.6"
"","high","4.3","50.4","0.4","0.1","0.6","0.0","0.0","9.3"
"","low","2.4","32.0","0.0","0.0","0.0","0.0","0.1","7.7"
"Marquez Valdes-Scantling","GB","3.0","44.5","0.1","0.3","2.0","0.0","0.0","8.4"
"","high","3.8","65.0","0.2","0.8","4.8","0.0","0.0","10.6"
"","low","2.3","36.1","0.0","0.1","0.7","0.0","0.0","6.8"
"Michael Gallup","DAL","3.0","46.8","0.1","0.0","0.2","0.0","0.0","8.4"
"","high","3.6","59.0","0.2","0.2","1.0","0.0","0.0","9.4"
"","low","2.6","39.0","0.0","0.0","0.0","0.0","0.0","6.9"
"Michael Pittman Jr.","IND","3.2","39.6","0.1","0.1","0.6","0.0","0.0","8.0"
"","high","4.0","48.0","0.3","0.2","1.2","0.0","0.0","8.9"
"","low","2.4","29.5","0.0","0.0","0.0","0.0","0.1","7.4"
"Nelson Agholor","LV","3.0","37.3","0.2","0.1","0.5","0.0","0.0","7.9"
"","high","4.6","53.5","0.4","0.2","1.4","0.0","0.0","9.7"
"","low","1.5","21.0","0.0","0.0","0.0","0.0","0.0","6.2"
"Richie James Jr.","SF","2.8","43.0","0.1","0.0","0.9","0.0","0.1","7.8"
"","high","4.7","69.7","0.4","0.1","2.4","0.0","0.0","11.8"
"","low","1.4","20.4","0.0","0.0","0.0","0.0","0.2","5.7"
"Breshad Perriman","NYJ","2.8","41.3","0.1","0.1","0.4","0.0","0.0","7.7"
"","high","3.3","46.5","0.2","0.1","0.7","0.0","0.0","8.6"
"","low","2.2","31.8","0.0","0.0","0.1","0.0","0.0","6.6"
"Larry Fitzgerald","ARI","3.3","34.8","0.1","0.0","0.0","0.0","0.0","7.6"
"","high","4.2","42.7","0.3","0.0","0.1","0.0","0.0","8.7"
"","low","2.0","30.0","0.0","0.0","0.0","0.0","0.0","6.4"
"Tre'Quan Smith","NO","2.7","34.6","0.2","0.0","0.1","0.0","0.0","7.5"
"","high","3.8","54.0","0.6","0.0","0.1","0.0","0.0","11.4"
"","low","1.8","22.9","0.0","0.0","0.0","0.0","0.0","5.1"
"Scotty Miller","TB","2.3","35.6","0.2","0.2","1.4","0.0","0.0","7.1"
"","high","3.9","61.0","0.5","0.4","1.8","0.0","0.0","11.4"
"","low","1.0","15.0","0.0","0.1","0.3","0.0","0.0","3.8"
"David Moore","SEA","2.3","31.8","0.2","0.3","2.6","0.0","0.0","6.9"
"","high","3.0","40.4","0.3","0.6","4.1","0.0","0.0","8.1"
"","low","1.6","25.0","0.0","0.1","0.8","0.0","0.0","5.4"
"Demarcus Robinson","KC","2.5","31.5","0.1","0.0","0.0","0.0","0.0","6.6"
"","high","3.8","47.2","0.3","0.0","0.1","0.0","0.0","7.8"
"","low","1.3","14.0","0.0","0.0","0.0","0.0","0.0","4.6"
"Olamide Zaccheaus","ATL","2.4","31.7","0.2","0.0","0.3","0.0","0.0","6.5"
"","high","4.6","73.0","0.5","0.1","0.8","0.0","0.0","12.4"
"","low","1.2","15.5","0.0","0.0","0.0","0.0","0.0","4.5"
"Marcus Johnson","IND","2.2","35.4","0.1","0.0","0.0","0.0","0.0","6.4"
"","high","3.1","51.7","0.3","0.0","0.2","0.0","0.0","7.5"
"","low","1.0","13.9","0.0","0.0","-0.1","0.0","0.1","4.0"
"Jakeem Grant","MIA","2.5","29.4","0.1","0.4","2.2","0.0","0.0","6.4"
"","high","3.2","37.7","0.2","0.7","3.7","0.0","0.0","7.8"
