"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","9.0","35.0","0.1","4.0","23.0","0.1","0.0","5.8"
"","low","2.1","8.7","0.0","0.6","4.3","0.0","0.1","1.8"
"Boston Scott","PHI","4.5","19.3","0.1","1.8","13.0","0.0","0.0","3.8"
"","high","6.5","28.1","0.1","3.8","20.9","0.1","0.0","5.2"
"","low","2.7","12.2","0.0","0.6","4.2","0.0","0.1","2.6"
"Ito Smith","ATL","5.3","19.9","0.1","1.3","8.6","0.0","0.0","3.4"
"","high","8.6","34.5","0.2","3.2","19.0","0.1","0.0","4.8"
"","low","1.8","5.8","0.0","0.1","0.8","0.0","0.0","1.3"
"DeAndre Washington","MIA","5.3","18.2","0.1","1.3","8.5","0.0","0.0","3.3"
"","high","7.6","25.6","0.2","2.5","12.8","0.1","0.0","4.5"
"","low","2.2","9.1","0.0","0.5","3.8","0.0","0.1","1.7"
"Ty Johnson","NYJ","4.5","19.6","0.1","1.5","7.7","0.0","0.1","3.3"
"","high","6.7","28.3","0.2","2.2","12.5","0.1","0.0","5.0"
"","low","3.0","15.1","0.0","0.6","2.3","0.0","0.1","1.7"
"Joshua Kelley","LAC","5.9","21.2","0.1","1.1","7.2","0.0","0.1","3.2"
"","high","11.6","38.4","0.1","3.0","16.1","0.0","0.0","3.5"
"","low","3.0","13.0","0.0","0.2","1.3","0.0","0.2","1.9"
"Samaje Perine","CIN","5.7","21.7","0.1","0.9","5.3","0.0","0.1","3.1"
"","high","7.9","28.5","0.2","1.7","9.3","0.0","0.0","4.2"
"","low","4.0","16.0","0.0","0.3","1.0","0.0","0.1","2.0"
"Royce Freeman","DEN","6.0","20.4","0.1","1.4","7.5","0.0","0.0","3.1"
"","high","7.0","25.8","0.1","2.2","9.0","0.0","0.0","3.8"
"","low","5.0","11.5","0.0","0.8","5.3","0.0","0.1","2.3"
"Anthony McFarland Jr.","PIT","4.6","18.4","0.1","1.3","6.5","0.0","0.0","2.9"
"","high","7.3","29.3","0.2","3.0","11.0","0.0","0.0","3.5"
"","low","3.0","11.4","0.0","0.6","4.3","0.0","0.1","2.2"
"Alfred Morris","NYG","4.7","20.1","0.1","0.6","2.7","0.0","0.0","2.9"
"","high","5.0","22.8","0.2","1.4","4.1","0.0","0.0","3.5"
"","low","4.4","17.6","0.0","0.3","2.1","0.0","0.0","2.9"
"Jeff Wilson Jr.","SF","5.7","21.5","0.1","0.7","3.5","0.0","0.1","2.8"
"","high","10.0","39.0","0.2","2.4","9.6","0.0","0.0","3.9"
"","low","1.9","7.3","0.0","0.0","0.0","0.0","0.2","1.4"
"Peyton Barber","WAS","5.6","18.9","0.1","0.5","2.0","0.0","0.0","2.7"
"","high","8.5","24.4","0.2","1.6","3.8","0.0","0.0","3.2"
"","low","4.0","12.0","0.0","0.2","1.3","0.0","0.1","1.9"
"Justin Jackson","LAC","3.4","14.2","0.1","0.8","5.5","0.0","0.0","2.7"
"","high","3.4","14.2","0.1","0.8","5.5","0.0","0.0","2.7"
"","low","3.4","14.2","0.1","0.8","5.5","0.0","0.0","2.7"
"C.J. Prosise","HOU","3.8","11.1","0.0","1.6","10.3","0.1","0.1","2.5"
"","high","5.9","18.8","0.1","4.2","24.0","0.1","0.0","3.5"
"","low","1.7","3.3","0.0","0.4","1.6","0.0","0.1","1.1"
"Sony Michel","NE","3.7","16.5","0.1","0.5","2.0","0.0","0.0","2.5"
"","high","8.3","30.2","0.2","1.1","3.2","0.0","0.0","4.8"
"","low","1.9","8.1","0.0","0.1","0.4","0.0","0.0","1.4"
"Jeremy McNichols","TEN","3.5","15.3","0.0","0.9","5.3","0.0","0.0","2.4"
"","high","7.1","28.2","0.1","2.1","9.3","0.1","0.0","2.9"
"","low","1.7","7.2","0.0","0.2","0.9","0.0","0.1","1.3"
"Devonta Freeman","NYG","4.7","12.2","0.1","1.2","7.0","0.1","0.1","2.4"
"","high","5.0","14.8","0.1","1.3","9.4","0.1","0.0","3.6"
"","low","4.4","9.6","0.0","1.0","4.6","0.0","0.1","3.6"
"D'Onta Foreman","TEN","4.2","16.4","0.1","0.6","2.8","0.0","0.0","2.4"
"","high","6.3","24.7","0.1","1.8","6.7","0.1","0.0","2.8"
"","low","2.9","13.0","0.0","0.0","0.0","0.0","0.1","1.3"
"Josh Adams","NYJ","4.1","13.7","0.1","0.7","2.3","0.0","0.0","2.3"
"","high","5.9","17.7","0.3","1.8","3.3","0.0","0.0","3.7"
"","low","2.0","8.4","0.0","0.1","0.9","0.0","0.1","1.6"
"Jalen Richard","LV","2.8","9.9","0.1","1.0","6.8","0.0","0.0","2.1"
"","high","5.3","23.0","0.2","1.9","9.8","0.0","0.0","4.1"
"","low","1.1","4.4","0.0","0.6","5.4","0.0","0.1","1.3"
"Dion Lewis","NYG","1.9","6.8","0.0","1.7","11.2","0.0","0.0","2.0"
"","high","4.4","14.9","0.0","2.3","17.4","0.1","0.0","2.8"
"","low","0.9","3.9","0.0","1.3","7.2","0.0","0.1","1.9"
"Travis Homer","SEA","0.0","7.6","0.1","1.0","7.0","0.0","0.0","2.0"
"","high","0.0","7.6","0.1","1.0","7.0","0.0","0.0","2.0"
"","low","0.0","7.6","0.1","1.0","7.0","0.0","0.0","2.0"
"Kyle Juszczyk","SF","1.0","3.6","0.0","1.3","12.5","0.0","0.0","2.0"
"","high","1.5","5.6","0.1","2.0","15.7","0.1","0.0","2.5"
"","low","0.6","2.1","0.0","0.8","7.9","0.0","0.1","1.4"
"Troymaine Pope","LAC","2.7","9.9","0.0","1.3","8.0","0.0","0.0","1.9"
"","high","3.4","11.1","0.1","2.2","11.6","0.1","0.0","2.3"
"","low","2.0","8.0","0.0","0.9","6.0","0.0","0.0","1.4"
"Devine Ozigbo","JAC","3.3","10.2","0.0","1.1","6.3","0.0","0.0","1.8"
"","high","5.5","19.8","0.1","1.7","8.0","0.0","0.0","2.3"
"","low","2.0","3.1","0.0","0.6","3.8","0.0","0.1","1.0"
"Patrick Laird","MIA","2.4","9.0","0.0","1.9","9.8","0.0","0.1","1.8"
"","high","2.9","11.1","0.0","2.7","12.5","0.0","0.1","1.4"
"","low","2.0","7.0","0.0","1.0","7.0","0.0","0.1","1.4"
"Dontrell Hilliard","CLE","2.0","8.7","0.1","0.4","2.9","0.0","0.0","1.8"
"","high","2.0","8.7","0.1","0.4","2.9","0.0","0.0","1.8"
"","low","2.0","8.7","0.1","0.4","2.9","0.0","0.0","1.8"
"DeeJay Dallas","SEA","3.1","9.1","0.1","0.8","4.3","0.0","0.0","1.7"
"","high","4.5","13.3","0.1","1.3","7.2","0.0","0.0","2.2"
"","low","1.7","5.6","0.0","0.2","1.5","0.0","0.0","1.3"
"J.J. Taylor","NE","2.3","10.6","0.1","0.1","0.7","0.0","0.0","1.7"
"","high","2.3","10.6","0.1","0.1","0.7","0.0","0.0","1.7"
"","low","2.3","10.6","0.1","0.1","0.7","0.0","0.0","1.7"
"Mike Boone","MIN","1.8","9.5","0.1","0.2","1.5","0.0","0.0","1.7"
"","high","1.8","10.1","0.1","0.3","2.8","0.0","0.0","1.8"
"","low","1.8","9.0","0.1","0.1","0.3","0.0","0.0","1.6"
"Eno Benjamin","ARI","1.9","8.4","0.1","0.2","2.1","0.0","0.0","1.7"
"","high","1.9","8.4","0.1","0.2","2.1","0.0","0.0","1.7"
"","low","1.9","8.4","0.1","0.2","2.1","0.0","0.0","1.7"
"Darrel Williams","KC","1.9","7.2","0.0","1.0","5.8","0.0","0.0","1.6"
"","high","5.5","16.4","0.1","2.6","10.7","0.1","0.0","2.2"
"","low","0.5","1.9","0.0","0.0","0.0","0.0","0.1","0.6"
"Jaylen Samuels","PIT","3.3","8.2","0.0","1.9","9.0","0.0","0.0","1.6"
"","high","3.3","8.2","0.0","1.9","9.0","0.0","0.0","0.0"
"","low","3.3","8.2","0.0","1.9","9.0","0.0","0.0","0.0"
"Malcolm Perry","MIA","0.3","0.7","0.0","0.9","10.2","0.1","0.0","1.6"
"","high","0.3","1.0","0.0","1.0","14.3","0.1","0.0","2.1"
"","low","0.2","0.5","0.0","0.8","6.1","0.1","0.0","1.1"
"Craig Reynolds","JAC","1.6","7.2","0.1","0.2","2.1","0.0","0.0","1.5"
"","high","1.6","7.2","0.1","0.2","2.1","0.0","0.0","1.5"
"","low","1.6","7.2","0.1","0.2","2.1","0.0","0.0","1.5"
"Tyler Ervin","GB","2.2","6.9","0.0","0.9","5.6","0.0","0.0","1.5"
"","high","3.2","10.3","0.0","1.2","9.6","0.0","0.0","2.0"
"","low","1.1","4.4","0.0","0.5","3.4","0.0","0.0","1.2"
"Corey Clement","PHI","2.5","8.1","0.1","0.8","3.9","0.0","0.0","1.5"
"","high","3.3","11.0","0.1","1.7","7.6","0.0","0.0","1.5"
"","low","1.7","6.2","0.0","0.2","1.5","0.0","0.0","1.4"
"Ryan Nall","CHI","1.6","5.7","0.0","0.9","5.9","0.0","0.0","1.5"
